canonical_smiles,mol_id,MW,LogP,TPSA,HBD,HBA,RotatableBonds,scaffold,scaffold_specificity,scaffold_size
CCCCCCCCn1sc(Cl)c(Cl)c1=O,M00745,282.23600000000005,4.577100000000004,22.0,0.0,3.0,7.0,O=c1ccs[nH]1,0.8795051323147839,4
CCNc1nc(NC(C)(C)C)nc(OC)n1,M00746,225.296,1.5223999999999998,71.96000000000001,2.0,6.0,4.0,c1ncncn1,0.6028054368020348,40
CCNc1nc(NC(C)(C)C)[nH]c(=O)n1,M00747,211.269,0.8070999999999997,82.7,3.0,5.0,3.0,O=c1ncnc[nH]1,0.8352580650673657,6
CCc1cccc(C)c1N(C(=O)CS(=O)(=O)O)C(C)COC,M00748,329.41800000000006,1.8131199999999998,83.91000000000001,1.0,4.0,7.0,c1ccccc1,0.21161295934610674,802
COCCOCCOC,M00749,134.175,0.29580000000000006,27.69,0.0,3.0,6.0,,0.0,0
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,M00750,383.37600000000003,2.8843000000000005,86.33,1.0,6.0,7.0,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,0.8795051323147839,4
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,M00751,277.4079999999999,3.0356000000000014,32.7,1.0,3.0,5.0,c1ccc(CC2CCCCC2)cc1,0.802209494641301,8
Nc1ccc(S(=O)(=O)O)cc1,M00752,173.193,0.5155000000000001,80.39,2.0,3.0,1.0,c1ccccc1,0.21161295934610674,802
O=S(=O)(O)c1ccc2ccccc2c1,M00753,208.238,2.0865,54.370000000000005,1.0,2.0,1.0,c1ccc2ccccc2c1,0.6846698721617894,21
O=S(=O)(O)c1ccc2ccc(S(=O)(=O)O)cc2c1,M00754,288.302,1.3332000000000002,108.74,2.0,4.0,2.0,c1ccc2ccccc2c1,0.6846698721617894,21
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,M00755,424.99100000000016,0.38950000000000035,102.26,4.0,7.0,7.0,O=C(NCC1CCCCO1)C1CCCN1,0.9466801716388252,2
CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,M00756,312.41,1.2853999999999997,90.64999999999999,2.0,5.0,7.0,C1=CCCCC1,0.802209494641301,8
CCC(CC)OC1C=C(C(=O)O)CC(N)C1NC(C)=O,M00757,284.356,0.8069000000000008,101.65,3.0,4.0,6.0,C1=CCCCC1,0.802209494641301,8
CC1COC(=O)c2cc3c(cc21)C(C)(C)C(C)C3(C)C,M00758,272.388,4.1654000000000035,26.3,0.0,2.0,0.0,O=C1OCCc2cc3c(cc21)CCC3,1.0,1
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,M00759,296.41,4.029500000000003,34.14,0.0,2.0,0.0,C=C1CC2C(CCC3C(=O)CCC32)C2C=CC(=O)C=C12,1.0,1
CC(C)N(C(=O)CS(=O)(=O)O)c1ccc(F)cc1,M00760,275.301,1.4548999999999999,74.68,1.0,3.0,4.0,c1ccccc1,0.21161295934610674,802
CC(C)N(C(=O)C(=O)O)c1ccc(F)cc1,M00761,225.219,1.6516999999999997,57.61,1.0,2.0,2.0,c1ccccc1,0.21161295934610674,802
CC(C)N(C(=O)CS(=O)(=O)O)c1ccccc1,M00762,257.311,1.3157999999999999,74.68,1.0,3.0,4.0,c1ccccc1,0.21161295934610674,802
CC(C)N(C(=O)C(=O)O)c1ccccc1,M00763,207.229,1.5125999999999997,57.61,1.0,2.0,2.0,c1ccccc1,0.21161295934610674,802
CCNc1nc(NCC)nc(OC)n1,M00764,197.242,0.7437999999999999,71.96000000000001,2.0,6.0,5.0,c1ncncn1,0.6028054368020348,40
CCNc1nc(NCC)[nH]c(=O)n1,M00765,183.215,0.028499999999999803,82.7,3.0,5.0,4.0,O=c1ncnc[nH]1,0.8352580650673657,6
CCNc1nc(NC(C)CC)nc(OC)n1,M00766,225.29599999999996,1.5223999999999998,71.96000000000001,2.0,6.0,6.0,c1ncncn1,0.6028054368020348,40
CCNc1nc(Cl)nc(NC(C)CC)n1,M00767,229.715,2.1672000000000002,62.730000000000004,2.0,5.0,5.0,c1ncncn1,0.6028054368020348,40
CC(C)(C)Nc1nc(N)nc(Cl)n1,M00768,201.661,1.3175999999999999,76.72,2.0,5.0,1.0,c1ncncn1,0.6028054368020348,40
CC(C)(C)Nc1nc(N)[nH]c(=O)n1,M00769,183.215,-0.04250000000000004,96.68999999999998,3.0,5.0,1.0,O=c1ncnc[nH]1,0.8352580650673657,6
Oc1ccc(C(F)(F)F)cc1,M00770,162.11,2.4110000000000005,20.23,1.0,1.0,0.0,c1ccccc1,0.21161295934610674,802
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,M00771,454.6110000000002,5.093080000000005,63.95,0.0,6.0,13.0,c1ccc(CCCCNCCc2ccccc2)cc1,0.9088491513636503,3
CC(C)NCC(O)COc1ccc(CC(=O)O)cc1,M00772,267.325,1.0513999999999992,78.78999999999999,3.0,4.0,8.0,c1ccccc1,0.21161295934610674,802
Nc1cn[nH]c(=O)c1Cl,M00773,145.54899999999998,0.005500000000000171,71.77,2.0,3.0,0.0,O=c1cccn[nH]1,0.9466801716388252,2
Cn1ncc(N)c(Cl)c1=O,M00774,159.57600000000002,0.015900000000000025,60.910000000000004,1.0,4.0,0.0,O=c1cccn[nH]1,0.9466801716388252,2
CCOCCN(C(=O)CCl)C(=C(C)C)c1ccccc1,M00775,295.81,3.541400000000002,29.54,0.0,2.0,7.0,c1ccccc1,0.21161295934610674,802
O=C(O)C(c1ccccc1)C1CCCCN1,M00776,219.28399999999996,1.9969,49.33,2.0,2.0,3.0,c1ccc(CC2CCCCN2)cc1,0.9466801716388252,2
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,M00777,231.29900000000004,1.55042,30.17,0.0,4.0,2.0,O=c1cc[nH]n1-c1ccccc1,0.7758207207981391,10
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,M00778,397.635,-1.6561000000000003,128.84,5.0,8.0,5.0,C1CCC(OC2CCCO2)OC1,0.9088491513636503,3
CCc1cc(C)cc(CC)c1-c1c(OC(=O)C(C)(C)C)n2n(c1=O)CCOCC2,M00779,400.51900000000023,3.731720000000002,62.459999999999994,0.0,6.0,4.0,O=c1c(-c2ccccc2)cn2n1CCOCC2,1.0,1
Cc1cccc(C)c1N(Cn1cccn1)C(=O)CS(=O)(=O)O,M00780,323.374,1.3784399999999999,92.50000000000001,1.0,5.0,5.0,c1ccc(NCn2cccn2)cc1,0.8176983027273006,7
Cc1cccc(C)c1N(Cn1cccn1)C(=O)C(=O)O,M00781,273.29200000000003,1.57524,75.43,1.0,4.0,3.0,c1ccc(NCn2cccn2)cc1,0.8176983027273006,7
COCCN(C(=O)CCl)c1c(C)cccc1C,M00782,255.74499999999998,2.5216400000000005,29.54,0.0,2.0,5.0,c1ccccc1,0.21161295934610674,802
CC(C)N(C(=O)CCl)c1ccccc1,M00783,211.69200000000004,2.666800000000001,20.310000000000002,0.0,1.0,3.0,c1ccccc1,0.21161295934610674,802
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,M00784,363.336,3.5164000000000026,55.32000000000001,0.0,5.0,5.0,O=C(COc1nncs1)Nc1ccccc1,1.0,1
O=C(O)c1cc(Br)c(O)c(Br)c1,M00785,295.914,2.6154,57.53,2.0,2.0,1.0,c1ccccc1,0.21161295934610674,802
Cc1c(N)c(=O)n(-c2ccccc2)n1C,M00786,203.245,1.0666200000000003,52.95,1.0,4.0,1.0,O=c1cc[nH]n1-c1ccccc1,0.7758207207981391,10
