scaffold,size,specificity
O=C(Nc1ncccn1)NS(=O)(=O)c1ccccn1,5,0.8555293230024756
O=c1cc2occc3c(OC4CCCCO4)c(-c4ccccc4)oc(c1)c23,5,0.8555293230024756
O=C1CCC2C(CCC3C4CCCC4CCC23)C1,5,0.8555293230024756
O=S(=O)(c1cccc(-c2nc(=S)c3[nH]ncc3[nH]2)c1)N1CCNCC1,5,0.8555293230024756
O=C(Cc1ccccc1)c1c[nH]c2ccccc12,5,0.8555293230024756
O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,5,0.8555293230024756
C1=C2c3cccc4[nH]cc(c34)CC2NCC1,5,0.8555293230024756
O=C(c1ccccc1)c1c[nH]c2ccccc12,5,0.8555293230024756
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc3oc(-c4ccccc4)cc(=O)c3cc2C2CCCCO2)O1,5,0.8555293230024756
O=c1[nH]c(-c2cccc(S(=O)(=O)N3CCNCC3)c2)nc2cn[nH]c12,5,0.8555293230024756
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,4,0.8795051323147839
c1ccc(N2CCNCC2)cc1,4,0.8795051323147839
c1ccc(CNc2ccccn2)cc1,4,0.8795051323147839
O=C(NCC1CCCN1)c1ccccc1,4,0.8795051323147839
O=c1cccnn1-c1ccccc1,4,0.8795051323147839
O=S(=O)(c1ccccc1)c1ccccc1,4,0.8795051323147839
O=c1[nH]cnc2[nH]cnc12,4,0.8795051323147839
O=c1ccs[nH]1,4,0.8795051323147839
O=C(c1c[nH]c(-c2ccccc2)c1)c1cccc2ccccc12,4,0.8795051323147839
O=C1CCC2C1CCC1c3ccccc3CCC12,4,0.8795051323147839
c1ccc2c(c1)cnn2CC1CCCCC1,4,0.8795051323147839
O=C1C=C2CCC3C4CCC(=O)C4CCC3C2CC1,4,0.8795051323147839
C=C1CCC2CCCCC2C1CC1C=CCC2C(=O)C=CC(=O)C12c1cc(=O)c2ccccc2o1,4,0.8795051323147839
O=C1NCC(=O)N2C1Cc1c([nH]c3ccccc13)C2c1ccc2c(c1)OCO2,4,0.8795051323147839
O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,4,0.8795051323147839
c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,4,0.8795051323147839
c1ccc2c(c1)[nH]c1ccccc12,4,0.8795051323147839
c1ccc(Cn2ncc3ccccc32)cc1,4,0.8795051323147839
c1ccc2c(c1)CCC2,4,0.8795051323147839
O=C(CN1CCNCC1)c1cccc(-c2nc3cn[nH]c3c(=O)[nH]2)c1,4,0.8795051323147839
O=S(=O)(Nc1ccncn1)c1ccccc1,4,0.8795051323147839
C1=Cc2ccccc2Nc2ccccc21,4,0.8795051323147839
c1ccc(Cc2cncnc2)cc1,4,0.8795051323147839
c1nc[nH]n1,4,0.8795051323147839
O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,4,0.8795051323147839
O=S(=O)(Nc1ccon1)c1ccccc1,4,0.8795051323147839
O=C(c1c[nH]c2ccccc12)C1CC1,4,0.8795051323147839
O=C1CC(c2ccccc2)Oc2c1cccc2C1C(=O)c2ccccc2OC1c1ccccc1,4,0.8795051323147839
O=C1CC2CCC=C3C(=O)C=CC3C2O1,4,0.8795051323147839
C1COCCN1,4,0.8795051323147839
O=C1NC(=O)c2ccccc21,4,0.8795051323147839
O=c1nccc[nH]1,4,0.8795051323147839
O=C1C=CC(=O)c2ccccc21,4,0.8795051323147839
C=C1C(=O)OC2C3C=CC(=O)C3=CCCC12,4,0.8795051323147839
O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,4,0.8795051323147839
c1ccc2c3c([nH]c2c1)C1CC2CCC1N(CC3)C2,4,0.8795051323147839
O=C1CCCO1,4,0.8795051323147839
O=C(CN1CCCC1)c1ccccc1,4,0.8795051323147839
O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)OC3CCCCO3)O2)c(=O)[nH]1,4,0.8795051323147839
c1ncc(C[n+]2ccsc2)cn1,4,0.8795051323147839
c1ccc(C2=NCc3nncn3-c3sccc32)cc1,4,0.8795051323147839
O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,4,0.8795051323147839
C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,4,0.8795051323147839
c1nncs1,4,0.8795051323147839
O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,4,0.8795051323147839
O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,4,0.8795051323147839
c1ccc2c(c1)CC1NCCc3cccc-2c31,4,0.8795051323147839
c1cc[nH]c1,3,0.9088491513636503
O=c1oc2cc(OC3CCCCO3)ccc2c2ccccc12,3,0.9088491513636503
O=c1oc2ccccc2cc1Cc1ccccc1,3,0.9088491513636503
C(=CC=CC=CC=CC=CC1=CCCCC1)C=CC=CC=CC=CC1=CCCCC1,3,0.9088491513636503
O=C(Nc1ccccc1)NC1CCCCC1,3,0.9088491513636503
c1ccc(CCNCCc2ccccc2)cc1,3,0.9088491513636503
O=C1CC(c2ccccc2)Oc2cc(OC3CCCC(COC4CCCCO4)O3)ccc21,3,0.9088491513636503
O=C1NCC(=O)N2CCCC12,3,0.9088491513636503
C1CC1,3,0.9088491513636503
O=C1CC(c2ccccc2)Sc2ccccc2N1,3,0.9088491513636503
c1ccc(CCCCNCCc2ccccc2)cc1,3,0.9088491513636503
C1=CC2c3ccccc3OCC2CC1,3,0.9088491513636503
c1ccc(CC2=NCCN2)cc1,3,0.9088491513636503
c1ccc(CCc2ccccc2)cc1,3,0.9088491513636503
O=C(Nc1ccccc1)C1CCCCN1,3,0.9088491513636503
O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,3,0.9088491513636503
c1ccc2c(c1)CCC1C2CCC2CCCC21,3,0.9088491513636503
c1ncnc(NC2CC2)n1,3,0.9088491513636503
O=C1NCCN1,3,0.9088491513636503
O=C1C=CC2C(CCC3C4CCCC4CCC23)C1,3,0.9088491513636503
O=C1CCC2C1CCC1C3CCCCC3CCC21,3,0.9088491513636503
C(=Cn1cncn1)c1ccccc1,3,0.9088491513636503
c1ccc(CN2CCc3sccc3C2)cc1,3,0.9088491513636503
O=C(Nc1ccccc1)Nc1ccccc1,3,0.9088491513636503
O=C(CN1CCCC1)c1ccc2c(c1)OCO2,3,0.9088491513636503
O=C1CC2C(=CC3C2C=CC2CC(OC4CCCCO4)CC23)C(=O)CC(OC2CCCCO2)CCCCO1,3,0.9088491513636503
O=C1CN=C(c2ccccn2)N1,3,0.9088491513636503
c1ccc(N=Nc2cccc3ccccc23)cc1,3,0.9088491513636503
O=C(NNC(=O)c1ccccc1)c1ccccc1,3,0.9088491513636503
c1ccc(CCNCc2ccccc2)cc1,3,0.9088491513636503
O=C(CCc1ccccc1)c1ccccc1,3,0.9088491513636503
c1ccc(C2CCCc3ccccc32)cc1,3,0.9088491513636503
c1ccc2occc2c1,3,0.9088491513636503
O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2,3,0.9088491513636503
O=c1ocnn1-c1ccccc1,3,0.9088491513636503
O=c1[nH]cnc2nccnc12,3,0.9088491513636503
O=C1CCC(c2cccnc2)N1,3,0.9088491513636503
O=C(OC1CC2CCC(C1)N2)c1ccccc1,3,0.9088491513636503
O=S(=O)(Nc1cccnn1)c1ccccc1,3,0.9088491513636503
O=C1CCNC(=O)N1,3,0.9088491513636503
O=c1cc[nH]c2ccccc12,3,0.9088491513636503
C1=NCCN1Cc1cccnc1,3,0.9088491513636503
c1ccc(NC2CCNCC2)cc1,3,0.9088491513636503
O=C1C=C2CCCCC2C2CCC3CCCC3C12,3,0.9088491513636503
O=c1ccnc[nH]1,3,0.9088491513636503
O=c1[nH]cnc2nc[nH]c12,3,0.9088491513636503
c1cn(C2CCCO2)cn1,3,0.9088491513636503
c1ccc(-n2nc3ccccc3n2)cc1,3,0.9088491513636503
O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,3,0.9088491513636503
c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,3,0.9088491513636503
c1ccc(Oc2cnc3ccccc3n2)cc1,3,0.9088491513636503
S=[PH](Oc1ccccc1)c1ccccc1,3,0.9088491513636503
O=c1cnnc[nH]1,3,0.9088491513636503
C=C1COC(=O)C12CC1CCCCC1C2,3,0.9088491513636503
c1cc2c3c(c1)OC1CCCC4C(C2)NCCC314,3,0.9088491513636503
c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1S2,3,0.9088491513636503
c1ccc(Nc2ccccn2)cc1,3,0.9088491513636503
c1ccc(CCCNCCc2ccccc2)cc1,3,0.9088491513636503
O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,3,0.9088491513636503
c1ccc2c(c1)CC1NCCc3cc4c(c-2c31)OCO4,3,0.9088491513636503
O=c1cc(-c2ccccc2)oc2c(C3CCCCO3)cc(C3CCCCO3)cc12,3,0.9088491513636503
C(CCN1CCNCC1)=C1c2ccccc2Sc2ccccc21,3,0.9088491513636503
O=C(C=Cc1ccccc1)OC1CCCCC1,3,0.9088491513636503
O=C1NC(=O)C2CC=CCC12,3,0.9088491513636503
O=C1Nc2ccccc2C12CC1NCC3CC2OCC31,3,0.9088491513636503
O=C1CCCC(=O)C1C(=O)c1ccccc1,3,0.9088491513636503
O=C1CCCCO1,3,0.9088491513636503
c1ccc(-c2[o+]c3cccc(OC4CCCCO4)c3cc2OC2CCCCO2)cc1,3,0.9088491513636503
C=C1CCCC(=O)OCC2=CC[NH+]3CCC(OC1=O)C23,3,0.9088491513636503
O=C(OCC12CCCC34C5CC6CCC(C5C6)C(CC13)C4NC2)c1ccccc1,3,0.9088491513636503
c1ccc(C2(Cn3cncn3)OCCO2)cc1,3,0.9088491513636503
O=C1C=CC2C1CC1OC1C1C3CC3CCC21,3,0.9088491513636503
c1ccc2c(c1)Cc1cccnc1N1CCNCC21,3,0.9088491513636503
C=C1c2ccccc2COc2ccccc21,3,0.9088491513636503
O=C1C2=CC3CC4COC(C3=O)C24Oc2cc3c(cc21)C=CCO3,3,0.9088491513636503
C1CCC(OC2CCCO2)OC1,3,0.9088491513636503
C(=NOCc1ccccc1)c1ccccc1,2,0.9466801716388252
c1ccc2[nH]c(-c3cscn3)nc2c1,2,0.9466801716388252
O=c1[nH]cnn1-c1ccccc1,2,0.9466801716388252
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,2,0.9466801716388252
c1ccc(-c2nnc(-c3ccccc3)nn2)cc1,2,0.9466801716388252
c1ccc2c(c1)Cc1ccccc1N1CCNCC21,2,0.9466801716388252
c1ccc(C2CC2)cc1,2,0.9466801716388252
O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1,2,0.9466801716388252
O=C1CC(c2ccccc2)Oc2cc3c(cc21)C(C(=O)c1ccccc1)C(c1ccccc1)O3,2,0.9466801716388252
c1cc2c3c(c1)ccc1cc4c(c(c13)CO2)OCO4,2,0.9466801716388252
c1cc2cc(c1)-c1cccc(c1)CC1NCCc3ccc4c(c31)Oc1cc3c(cc1O4)CCNC3C2,2,0.9466801716388252
c1cc2c3c(c1)Oc1ccc(cc1)CC1NCCc4cccc(c41)Oc1ccc(cc1)CC3NCC2,2,0.9466801716388252
O=C(NC12CC3CC(CC(C3)C1)C2)c1c[nH]c2ccccc12,2,0.9466801716388252
c1ccc(N=Nc2ccccc2)cc1,2,0.9466801716388252
O=C1C=C2CC3CCCCC3CC2O1,2,0.9466801716388252
c1cnc(Oc2cccc(Oc3ncccn3)c2)nc1,2,0.9466801716388252
c1ccc(NCc2cccs2)cc1,2,0.9466801716388252
c1ccc2c(c1)Sc1ccccc1N2CCC1CCCCN1,2,0.9466801716388252
O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(CCCCO1)C2,2,0.9466801716388252
C=C1C2C=CCC1c1ccc(=O)[nH]c1C2,2,0.9466801716388252
O=S(=O)(Nc1ccccc1)c1nc2ncccn2n1,2,0.9466801716388252
N=C1CNC(c2ccccc2)=c2ccccc2=N1,2,0.9466801716388252
O=S(=O)(Oc1ccccc1)c1ccccc1,2,0.9466801716388252
c1ccc(Nc2ncncn2)cc1,2,0.9466801716388252
O=C1CC2CCNCC2Cc2c1[nH]c1ccccc21,2,0.9466801716388252
c1ccc(CC2CCCC2Cn2cncn2)cc1,2,0.9466801716388252
O=C(NC1C(=O)N2CCSC12)c1conc1-c1ccccc1,2,0.9466801716388252
O=C(NCc1ccccc1)c1ccccc1,2,0.9466801716388252
O=C1CCCC2CC3CCCC4CCCC(N12)N43,2,0.9466801716388252
O=C1CC2CCCCC2C2CCC3CCCC3C12,2,0.9466801716388252
c1ccc(C2CCCC2)cc1,2,0.9466801716388252
O=C1C=CCC1,2,0.9466801716388252
C=C1C(=O)C23CCC4CCCCC4C2CCC1C3,2,0.9466801716388252
O=C1CCC2C(CC=C3C4CCCC4CCC32)C1,2,0.9466801716388252
O=C1CCC2C(C1)CC(=O)C1C3CCCC3C(=O)CC21,2,0.9466801716388252
C=C1CC23CCC4CCCCC4C2CCC1C3,2,0.9466801716388252
c1ccc2c(c1)Sc1ccccc1N2CCCN1CCCCC1,2,0.9466801716388252
c1ccc(C2CNCCO2)cc1,2,0.9466801716388252
O=C1CCC2=CCC3C4CCCC4CC(=O)C3C2C1,2,0.9466801716388252
O=C1C=CC2C(=CCC3C4CCCC4CC(=O)C23)C1,2,0.9466801716388252
c1ccc(CC2NCCc3ccccc32)cc1,2,0.9466801716388252
C1=CC23CCC4CCCCC4C2CCC1C3,2,0.9466801716388252
O=C1C=C2CCC3C4CCCC4CC(=O)C3C2CC1,2,0.9466801716388252
O=C(C=Cc1ccccc1)OC1CC2CCC1C2,2,0.9466801716388252
O=c1cc[nH]cc1,2,0.9466801716388252
c1ccc2nccnc2c1,2,0.9466801716388252
O=C(c1ccccc1)C1CC=CCC1c1ccccc1,2,0.9466801716388252
O=c1[nH]ncs1,2,0.9466801716388252
c1ccc(CCOCc2cccc(Oc3ccccc3)c2)cc1,2,0.9466801716388252
O=c1cc[nH]cn1,2,0.9466801716388252
c1ccc(C(c2ccccc2)c2cncnc2)cc1,2,0.9466801716388252
c1cc2cc(c1)Oc1cccc3c1C(Cc1ccccc1Oc1ccc4c(c1)C(C2)NCC4)NCC3,2,0.9466801716388252
O=C(Nc1cccc2ccccc12)c1c[nH]c2ccccc12,2,0.9466801716388252
O=C1OC2(C=C1c1ccccc1)CCCCC2,2,0.9466801716388252
O=C1CN=C(c2ccccn2)c2ccccc2N1,2,0.9466801716388252
O=C(Oc1cccc2cccnc12)c1n[nH]c2ccccc12,2,0.9466801716388252
O=c1[nH]nnc2ccccc12,2,0.9466801716388252
O=C(Cc1ccccc1)OC1CC2[NH2+]C(C1)C1OC21,2,0.9466801716388252
c1ccc(C2CC3CCC2C3)cc1,2,0.9466801716388252
O=C1CCC2C1CCC1C3CCCCC3=CCC21,2,0.9466801716388252
C(=CC=CC=CC=CC=CC1C=CCCC1)C=CC=CC=CC=CC1=CCCCC1,2,0.9466801716388252
O=C(Oc1cccc2cccnc12)c1c[nH]c2ccccc12,2,0.9466801716388252
O=c1[nH]c(-c2ccccc2)nc2cn[nH]c12,2,0.9466801716388252
O=C1Nc2ccccc2Nc2ccccc21,2,0.9466801716388252
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,2,0.9466801716388252
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2,0.9466801716388252
C(CN1CCCC1)=C(c1ccccc1)c1ccccn1,2,0.9466801716388252
O=C(C=Cc1ccccc1)OCC(CCc1ccccc1)Cc1ccccc1,2,0.9466801716388252
O=C(Nc1ccccc1)c1ccoc1,2,0.9466801716388252
O=C1Cc2ccccc2N1,2,0.9466801716388252
O=C1C=C(C2CCC3C2CCC2C4CC5OC6C(OCCC67NCCS7)OC5CC4CCC23)CO1,2,0.9466801716388252
O=C(CCCC1CCCCO1)CC1CCCC2(C=CCC3(CCC(C4CCCCO4)O3)O2)O1,2,0.9466801716388252
O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,2,0.9466801716388252
O=C1OC(C2NCCc3cc4c(cc32)OCO4)c2ccccc21,2,0.9466801716388252
O=C1C=C(C2CCC3C2CCC2C4CC5OC6C(OCCC67N=CCS7)OC5CC4CCC23)CO1,2,0.9466801716388252
c1ccc2c(c1)NC1C3CC4CC[NH+]3C3CC21CC43,2,0.9466801716388252
c1ccc(C(CCN2CCCCC2)c2ccccc2)cc1,2,0.9466801716388252
c1ccc(C(c2ccccc2)C2CCCCN2)cc1,2,0.9466801716388252
c1cc2ccc3cccc4ccc(c1)c2c34,2,0.9466801716388252
O=C1C=CC(=O)C2(c3cc(=O)c4ccccc4o3)C(CC3CCCC4CCCCC43)C=CCC12,2,0.9466801716388252
O=[PH](Oc1ccccc1)Oc1ccccc1,2,0.9466801716388252
O=C(Cc1ccccc1)OC1CC2CCC(C1)N2,2,0.9466801716388252
c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1,2,0.9466801716388252
O=C1CN=C(C2=CCCCC2)c2ccccc2N1,2,0.9466801716388252
O=C1C=COC2=CCCCC12,2,0.9466801716388252
O=C(c1ccccc1)C(c1coc2ccccc2c1=O)C(c1ccccc1)c1ccccc1,2,0.9466801716388252
C1CCC(OC2CCOC(OC3CCOC(OC4CCCOC4)C3)C2)OC1,2,0.9466801716388252
c1ccc(Cc2ccc(OCC3CO3)cc2)cc1,2,0.9466801716388252
O=C(CNCCCc1ccccc1)N1CCCC1,2,0.9466801716388252
c1ccc(Cc2nccc3ccccc23)cc1,2,0.9466801716388252
O=C(NC12CC3CC(CC(C3)C1)C2)c1n[nH]c2ccccc12,2,0.9466801716388252
c1ccc2c(c1)C1CCC2c2ccccc21,2,0.9466801716388252
O=C1COc2ccccc2N1,2,0.9466801716388252
c1ccc2c(c1)ccn2CC1CCCCC1,2,0.9466801716388252
c1ccc(C2=NCc3cncn3-c3ccccc32)cc1,2,0.9466801716388252
c1ncc2nc[nH]c2n1,2,0.9466801716388252
C=C(c1ccccc1)c1ccccc1,2,0.9466801716388252
c1ccc(C2CCNCC2)cc1,2,0.9466801716388252
O=C(Nc1ncccn1)NS(=O)(=O)c1cnc2ccccn12,2,0.9466801716388252
S=c1nc[nH]c2nc[nH]c12,2,0.9466801716388252
O=c1[nH]c2ccccc2s1,2,0.9466801716388252
c1ccc2nc3ccccc3nc2c1,2,0.9466801716388252
c1ccc(CNC2CCCCC2)cc1,2,0.9466801716388252
O=c1c(CCN2CCC(c3noc4ccccc34)CC2)cnc2n1CCCC2,2,0.9466801716388252
c1ccc2c(c1)[nH]c1cnccc12,2,0.9466801716388252
O=c1nc[nH]c(=O)[nH]1,2,0.9466801716388252
O=C1C=CC2C(=C1)CCC1C3CCCC3CC(=O)C21,2,0.9466801716388252
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCC(OC5CCCCO5)CC4OC4CC(OC5CCCCO5)CCO4)CCC3C2C1,2,0.9466801716388252
C1=CC2C3Cc4cccc5c4C2(CCN3)C(O5)C1OC1CCCCO1,2,0.9466801716388252
O=C(Nc1cccc2ccccc12)c1n[nH]c2ccccc12,2,0.9466801716388252
c1ccc2c(c1)Nc1ncccc1S2,2,0.9466801716388252
C1=CC2C=CC2C1,2,0.9466801716388252
O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1,2,0.9466801716388252
O=C(c1cccc2ccccc12)c1cn(CCN2CCOCC2)c2ccccc12,2,0.9466801716388252
c1ccc(C(c2ccccc2)c2ccccc2)cc1,2,0.9466801716388252
O=S(=O)(Nc1ccno1)c1ccccc1,2,0.9466801716388252
O=c1nc[nH]c2[nH]cnc12,2,0.9466801716388252
c1ccc(NC2=NCCN2)cc1,2,0.9466801716388252
c1ccc(C2CCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1,2,0.9466801716388252
O=C1C=C2CCC3C(CCC4C3CC3OCOC34)C2CC1,2,0.9466801716388252
c1ccc(Nc2ccnc3ccccc23)cc1,2,0.9466801716388252
c1ccc2cnccc2c1,2,0.9466801716388252
O=C1CCC(c2ccccc2)C(=O)N1,2,0.9466801716388252
c1ccc(-c2nc3ccccc3[nH]2)cc1,2,0.9466801716388252
c1ccc2c(c1)CCCC2,2,0.9466801716388252
c1ccc(-c2ccnn2-c2ccccc2)cc1,2,0.9466801716388252
C1=CC2CCCN2C1,2,0.9466801716388252
c1ccc(-c2nn[nH]n2)c(-c2ccc(Cn3ccnc3)cc2)c1,2,0.9466801716388252
C1=CC2CCC[NH+]2C1,2,0.9466801716388252
O=C(Nc1ccccc1-c1ccccc1)c1cn[nH]c1,2,0.9466801716388252
O=C(c1ccccc1)c1ccc2nc[nH]c2c1,2,0.9466801716388252
c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,2,0.9466801716388252
C1CCC(NC2CCCCC2)CC1,2,0.9466801716388252
